Date,AA,ACNB,ACRS,AEO,AHCO,AME,ANSS,APD,ARMK,AUR,AVTR,AWI,AXTA,BKSY,BSY,BV,CABA,CCNE,CEIX,CMCSA,CNX,COHR,COR,CTLP,CUBI,CVLY,CZFS,CZNC,DGICA,DKS,DORM,DUOL,ENS,EPAM,EQT,ESNT,ESSA,ETRN,FCF,FDBC,FIVE,FMC,FNB,FOLD,FOUR,FULT,GMED,HCSG,HLNE,HRMY,HSY,HWM,IPSC,KHC,KMT,KRYS,LMB,LNC,LRMR,MATW,MDGL,MLYS,MPB,MSA,NVRI,NWBI,NWFL,OFLX,OLLI,OPTN,ORRF,OSUR,PENN,PFIS,PNC,PPG,PWOD,RDN,SEIC,SEM,STBA,TELA,TFX,TGI,TOL,UHS,UIS,URBN,UTZ,UVSP,VPG,VRCA,VSH,VSTS,VTRS,WAB,WCC,WMK,WST,X
2024-05-24,7354564730.88,259327270.7,71674525.44000001,4197109696.64,792414846.72,39889954848.96,28625146529.28,58558514602.56,8297194406.400001,1726650456.96,16225509642.24,5155857255.360001,7768444185.84,119450501.03999999,11886327252.8,563552625.28,418853259.76,396116207.12,2347590968.12,157414222528.0,3827745165.44,8886795353.28,37174945308.799995,396372241.06,1297753753.68,206141209.67,184059647.7,252283337.03999996,195653653.58,11272596874.2,2418188252.48,6097936070.400001,4323804971.04,10188529387.52,16384841962.720001,5828362591.44,147567456.0,5766750024.96,1355390066.8799999,212728595.2,7236287744.879999,7657483222.24,4876896382.4,2771807875.68,3766557485.7599998,2683938416.64,7661815168.0,795303795.52,4272462929.92,997579051.58,29035823696.0,33090615360.0,66082654.199999996,28204212453.12,1998885706.72,3967834277.08,549999023.46,5481001468.8,178864041.84,834053570.9200001,3595359400.1000004,224074940.76000002,315658372.8,6960007428.16,665686035.76,1391890551.44,165896347.07,214975415.5549,4822570348.64,91333494.52,259033194.0,340056441.35999995,2392680869.04,263343805.76000002,61020173012.16,30914280095.999996,132962338.17999999,4879810724.8,8235666683.200001,3425970549.68,1213582036.8,123696608.12,9666883962.72,1052051143.6800001,13131774689.6,10445793639.84,294422547.04,2797600786.56,1209230736.8000002,637292849.48,384852283.02,209746447.95999998,3019246272.0,1565892422.24,12430672384.0,30095838846.399998,9659697333.800001,1071050400.9000001,24365941011.84,7122275097.599999
2024-05-28,7631862200.32,262599539.10000002,67194867.60000001,4328354231.04,794773224.24,38672537132.16,28355538193.92,58613871286.56,8260848748.8,1691698018.56,15923296093.44,5103309549.5199995,7696647104.64,119450501.03999999,11752968459.232,558008186.24,408133066.64,394907307.20000005,2368873342.2000003,157536787456.0,3890975444.16,8794457275.199999,36721550900.0,416146582.2,1292296179.24,204940028.26,184191684.75,250848278.24,196256592.42,11571633077.4,2412666074.0,6639708978.0,4336310844.72,10025092165.44,16835838360.0,5763015226.56,146556720.0,5919593686.08,1340451895.68,207272840.28,7222686722.879999,7793825591.04,4834457835.2,2747430879.36,3697593125.7599998,2656730931.2000003,7624554060.8,790881346.24,4371505777.280001,979913936.4,29133101074.88,33321062280.0,72062592.744,27551409989.760002,1968827275.04,3880023350.68,554122594.215,5408860953.6,186048855.35999998,830381267.4200001,3494505168.2999997,223524388.07999998,316685142.6,6750806608.0,667250515.28,1376829517.52,168201404.60999998,197222419.6,4853314772.64,96657868.64,256598671.5,338652699.6,2254655935.84,257437508.8,60300287649.6,30500176032.0,130992773.04,4787827072.16,8083512137.44,3457181942.4799995,1191449841.6,120788578.832,9590028767.359999,1055061304.3199999,12830508788.0,10384759107.0,306305071.35999995,2794921092.3199997,1197205237.7600002,620521985.02,384501780.03,207290400.56,2996601924.96,1512480118.32,12406767244.800001,29920265007.52,9375365781.599998,1051813879.2399999,24058831997.76,7304795796.4800005
2024-05-29,7759030466.56,257363909.66,65275014.24,4350077464.320001,785339714.16,38323390919.04,27863935046.528004,57635165113.44,8081716579.2,1698688506.24,15822558243.839998,5074607021.12,7526543250.72,115222164.72000001,11589726591.52,543751057.28,384395496.15999997,385236107.84000003,2305026219.96,155085488896.0,3860131405.76,8642546243.52,37200416904.799995,416146582.2,1261274177.1599998,201890875.45000002,183087855.01200002,242524937.2,193844837.06,13410943057.4,2388473673.04,6704482458.12,4333486937.76,10090693264.960001,16611360515.2,5715301277.6,142682232.0,5828713671.36,1311571431.36,208143927.2,7166650512.24,7496351331.839999,4749580740.8,2684337477.12,3663938518.08,2621521244.16,7598937049.6,782773522.56,4169216226.56,977580807.9799999,28545015102.559998,32840639040.0,70415943.0,27268266752.640003,1952216036.48,3809042851.84,547913539.4,5434026249.6,178359844.4,818776788.36,3487457900.55,227011221.72,311125917.53999996,6625434485.28,656299158.64,1354865509.72,166642100.98,193731318.04500002,4880984754.24,88466523.84,252265221.45000002,328826507.28,2235257837.12,244918727.2,59793994647.35999,29911960032.0,129457179.88000001,4723906228.8,8042454561.599999,3473828018.64,1150505280.48,123064427.84,9501926470.24,1053556224.0,12659577780.0,10674524995.92,294422547.04,2760085067.2000003,1209898820.08,607730647.72,380178909.82,207290400.56,2942507095.92,1517691074.8,12329075542.4,29707448233.12,8929929850.8,1052139921.9800001,23704701507.84,7364313415.679999
2024-05-30,7866770247.68,262026892.13,67194867.60000001,4024228965.12,761755938.9599999,38518637156.64,27646088055.04,57679450460.64,8151811776.0,1677717043.2,15852779598.720001,5110816364.639999,7654673426.4,115222164.72000001,11203922723.84,549295496.3199999,380183991.71999997,390071707.52,2390397561.44,158803291712.0,3986591963.2000003,8816797132.800001,37450038545.6,422049370.6,1286264123.28,201336484.03,184719832.95,247978160.64000002,196015416.884,13298804481.199999,2388473673.04,6646203416.64,4399647043.68,9955532378.88,16815431283.2,5847033267.12,144580731.12,5898939137.28,1332484871.04,207777612.2268,7326598530.959999,7581875181.360001,4820311652.8,2836335218.88,3618697897.92,2664733132.7999997,7751474707.199999,790881346.24,4167198375.68,962248821.22,28466898419.519997,32899227240.0,66949311.95999999,27252536572.8,2013123911.2,3941486120.7752,557772191.32,5462546918.400001,179494288.64000002,829353022.44,3527862235.65,227378256.84,315365010.0,6623579868.08,657863638.16,1368043914.4,172608132.26000002,197387874.65,4991049792.16,87647389.36,251340102.89999998,330230249.04,2183778267.44,253328780.48000002,60897555175.68,30375474240.0,130792478.28,4825244151.2,8087134864.72,3528968145.92,1171161996.0,118639165.88,9683754615.359999,1049040983.04,12891402959.6,11015251756.92,287161004.4,2786212086.0400004,1223260485.6799998,615405450.0999999,387188969.62,204834353.16,2941249076.64,1578919813.4399998,12526292940.800001,29984110039.84,9027905554.4,1060454011.8499999,24188141056.320004,7562705479.679999
2024-05-31,7822614599.68,256709455.98,65594989.8,3977161959.68,744461170.48,38996416185.12,27465485035.519997,59074438897.44,8343924537.6,1667231311.6799998,16178498645.76,5111257942.0,7866750958.559999,114165080.64,11199462563.52,546919308.16,390138456.76,391079124.12,2507692464.04,163583323904.0,4054448847.68,8496592507.2,38450223215.200005,423229928.28,1301487883.5600002,203831245.42,184191684.75,250417760.6,199271286.62,13498755275.8,2418714174.2400002,6544001461.2,4352044040.639999,10089562211.52,16774617129.6,5879188319.68,146051352.0,5894808227.5199995,1346427164.1599998,212040895.0,7515380716.32,7559564611.92,4873359836.8,2814826104.48,3712489427.5200005,2695141498.88,7814352825.6,794566720.64,4222689274.88,981580456.6999999,29165526867.84,33063274200.000004,64566003.12,27822755592.0,2036854252.0,3899292970.6400003,540993524.11,5534687433.6,201678976.0,831409512.4,3703730717.5,234718959.23999998,313898196.0,6674396379.36,693064427.36,1374319345.1999998,0.0,195931870.21,5069140629.12,87647389.36,253969387.2,331984926.24,2612774681.44,250889223.04,62254262205.119995,30933103008.0,132995720.64000002,4868897410.08,8181325774.0,3593991880.92,1177063914.72,116321171.52,9798100149.92,1062586705.92,12995564042.6,11251093932.36,283200162.96,2794251168.76,1237958317.8400002,620379859.05,393965360.76,209500843.22,2972699558.64,1604974595.8400002,12669723776.0,30019579502.24,9061237494.8,1068605080.3499999,24347573247.84,7606351733.76
2024-06-03,7772277160.96,253191767.45,65914965.36,4020608426.2400002,751536303.0400001,38178679001.76,27198469088.0,60015502525.44,8323155590.400001,1579850215.6799998,16292668208.640001,5109491632.559999,7924188623.5199995,114165080.64,11083498395.2,552067715.84,384778360.20000005,385639074.48,2558963637.96,161663140032.0,4029773616.96,10453712965.344,39137956307.2,416146582.2,1271327603.76,200412498.33,186524339.3,242381431.32000002,198819082.48999998,13193785814.6,2412140152.2400002,6856759953.599999,4327839123.84,9975325814.08,16729721560.640001,5993286893.28,141503040.0,5874153678.72,1318542577.92,212040895.0,7661727713.040001,7306711491.6,4770800014.4,2883655270.56,3869728168.32,2626322565.12,7764283212.800001,784984747.2,4158118046.72,999578875.9399999,28960654812.32,33063274200.000004,64349338.68000001,27610398164.159996,2013123911.2,4008812709.4,527343082.99,5590051084.8,230418230.08,829059238.16,3841230741.6,239673933.36,307590895.8,6543089481.6,716531620.16,1356748138.96,171150522.345,204006076.65,5142927246.72,88466523.84,248516056.79999998,329879313.6,2581439291.2000003,244019942.88,61336606138.56,30982513152.0,134664843.64000002,4973353422.4,8157174258.799999,3563300678.0,1178908264.32,116321171.52,10071779626.08,1088173071.3600001,12820893918.800001,11060879514.48,281879882.47999996,2878661537.3199997,1227268985.3600001,610573167.12,394549532.41,210483262.18,3003521031.0,1621258834.8400002,12651794921.6,29391770017.76,8948110909.2,1074962913.78,24164630318.399998,7683724638.719999
2024-06-04,7418148864.0,248528784.98,65275014.24,3910181990.4,729524779.52,38339470020.96,27398082951.68,59856075275.52,8307578880.0,1478488144.3200002,16238941355.52,5022500892.639999,7882214945.28,116279248.80000001,11056737433.279999,546919308.16,380949719.79999995,385034624.52,2391848632.4,161601857568.0,3938783703.68,9810176134.08,39168522222.4,408472957.28,1232262860.3999999,199673309.76999998,190353413.75,246830113.6,198366878.36,13086987170.6,2372696020.2400002,6583309905.599999,4316946911.28,9867875737.28,16578709192.32,5922753229.6,141503040.0,5828713671.36,1295637382.08,211353194.8,7504499898.72,7022871469.28,4724824921.599999,2908032266.88,3892348478.3999996,2611918602.2400002,7706062732.800001,768032024.96,4062606438.4,990246362.26,29488310897.76,32153204159.999996,66082654.199999996,28022528875.968,1978319411.3600001,3932465987.28,511038389.42999995,5428993190.4,239745882.72,822302199.7199999,3823925784.125,238572828.0,302750409.6,6550137026.96,722007298.48,1340432018.8799999,167353956.98499998,203509711.5,5050693974.72,87237822.11999999,247737009.60000002,326019023.76,2456097730.2400002,245143423.28,60976663457.28,30975454560.0,134464548.88,4893842129.440001,8083512137.44,3546654601.84,1142390142.24,119692799.67999999,10077871806.2,1057318924.8000001,12506808191.599998,10939403017.08,274618339.84000003,2792241398.08,1234283859.8000002,600340097.28,384268111.37,204097538.94,2879606131.92,1610185552.32,12574103219.199999,29219743125.12,8719332591.0,1047575323.6200001,23393918940.960003,7556753717.76
2024-06-05,7522356193.280001,255236935.2,67194867.60000001,3924664145.92,812067992.72,38746041598.08,28272581783.04,59856075275.52,8276425459.2,1628783629.44,16285952352.0,5110374787.28,8032436530.559999,115750706.75999999,11293125930.24,563552625.28,427659132.68,383825724.6,2372984709.92,159824666112.0,3985049761.28,9941236632.0,39351917713.6,410243793.8,1243178009.28,200042904.04999998,195546871.05,245897325.38000003,197763939.51999998,12884069747.0,2397151382.08,6697475300.64,4323401555.76,9867875737.28,16709314483.839998,5959057321.200001,141924180.0,5867957314.08,1310575553.28,208327313.92,7213982068.799999,7171608598.88,4735434558.400001,3006974193.12,3906141350.3999996,2627122785.2799997,7721200057.6,777613998.4000001,4149710334.72,996579139.4,29239221851.84,33055462440.0,64782667.56,27260401662.719997,1995721661.28,4083208077.6,527911851.37,5506166764.8,249325634.08,844336020.7199999,3695273996.2000003,247565188.44,310671205.2,6529365314.32,739998812.96,1351100251.24,170845441.2,200002064.44,5524158104.320001,88466523.84,247931771.4,339003635.04,2441176115.84,248000273.44000003,61154657090.880005,31340148479.999996,134331019.04000002,4875133589.92,8062983349.5199995,3582027513.68,1141283532.48,120114253.2,10091930683.4,1140098342.4,12839055338.400002,11227391201.16,281879882.47999996,2754055755.16,1251988066.7199998,600908601.16,389759324.88,224237127.62,2933700960.96,1631029378.24,12550198080.0,29384676125.28,8983967996.599998,1033229443.0600001,23331468543.36,7612303495.679999
2024-06-06,7532953548.8,251187503.05499998,64635063.12,3901130643.2000003,874564997.0,38766714729.12,28074696177.92,59740933372.8,8484114931.2,1625288385.6000001,16165066932.48,5087412764.559999,8012554261.920001,113107996.56,11235143846.08,550087559.0400001,421916172.08,387452424.36,2412889161.3199997,159620391232.0,3954205722.88,9832515991.68,40189084168.799995,404341005.4,1250933509.8,200828291.89499998,193654340.0,247404137.11999997,197613204.81,12595120082.4,2383740377.2000003,6639708978.0,4287094180.56,9915379981.76,16595034853.759998,5891635436.799999,141671496.0,5824582761.599999,1320036395.04,210527954.56,6460213429.56,7273245637.44,4707142193.6,2945314731.8399997,3847107858.2400002,2632724326.4,7704898323.2,781667910.24,4068996299.52,1017243991.12,29082988485.76,32520356880.000004,64999332.0,27181750763.52,1963290195.52,4040766129.84,540424755.73,5430670876.799999,239493784.0,809963259.96,3776395878.2999997,246831118.2,308764347.0,6464453712.32,696975626.16,1365533742.0800002,170574257.96,202351526.15,5186584328.799999,85189985.92,248516056.79999998,339354570.48,2576962806.88,246459500.32,61297051997.76,30730756704.000004,136467496.48000002,4856425050.4,8018303046.400001,3485272196.0,1151980760.16,120535706.72,10141136753.6,1137840721.9199998,12700173894.4,11218502676.96,281219742.24,2768794073.48,1243971067.3600001,609151907.42,386254294.98,216132171.20000002,2904766517.52,1619304726.1599998,12448601238.4,29095600006.72,8861750881.8,1043499789.3700001,23157342140.64,7602383892.4800005
2024-06-07,7227396464.64,253682607.71,65275014.24,3870356062.72,880854003.72,39049247520.0,27995196284.160004,61895415514.079994,8632093680.0,1590335947.2,16124771792.640001,5000422024.639999,7957325737.920001,108879660.24000001,11339957613.6,542958994.5600001,403921562.20000005,383503351.288,2373952090.56,159211841472.0,3914108472.96,9810176134.08,39973424656.0,404636144.82000005,1248348342.96,200504896.9,190045327.3,242668443.08,197462470.1,13000954929.6,2371381215.84,6459231946.32,4207217955.1200004,10004167676.800001,16546057869.44,5855331345.200001,141081900.0,5799797303.04,1322526090.24,212040895.0,6444708264.48,7022871469.28,4664703646.4,2882221329.6000004,4002139739.5200005,2631123886.0800004,7581470905.6,768769099.84,3987273338.88,1016244078.9399999,28897277126.08,32731274400.0,63916009.800000004,27040179144.960003,1940746371.76,4001007293.72,545543671.15,5439059308.8,242014771.2,806437848.6,3828232447.75,241142073.84,307004170.2,6351322063.12,636743164.64,1365533742.0800002,171421705.585,201788978.98,5131244365.6,87647389.36,247542247.8,329528378.16,2559056869.6,247903975.12,61649083850.880005,30213126624.0,135065433.16,4823685106.24,7875809106.72,3481110676.96,1149029800.8,118217712.36,9957902720.76,1131820400.6399999,12511081466.8,11110655250.0,274618339.84000003,2774153461.9599996,1230609401.7600002,607162143.84,378543229.2,200659072.58,2848155649.92,1597158161.12,12508364086.4,28937760899.039997,8908718616.0,1024100246.34,23136035534.399998,7592464289.280001
