Ticker,Name,Sector,Industry Name,Market Capitalization
CMCSA,Comcast Corp,Communication Services,Media,1.76803E+11
APD,Air Products and Chemicals Inc,Materials,Chemicals,61883981824
PNC,PNC Financial Services Group Inc/The,Financials,Banks,44542468096
HSY UN Equity,Hershey Co/The,Consumer Staples,Food Products,39041101824
KHC UW Equity,Kraft Heinz Co/The,Consumer Staples,Food Products,38457901056
COR UN Equity,Cencora Inc,Health Care,Health Care Providers & Services,38160502784
AME UN Equity,AMETEK Inc,Industrials,Electrical Equipment,32661913600
PPG UN Equity,PPG Industries Inc,Materials,Chemicals,29408976896
WST UN Equity,West Pharmaceutical Services Inc,Health Care,Life Sciences Tools & Services,26860367872
ANSS UW Equity,ANSYS Inc,Information Technology,Software,24277198848
HWM UN Equity,Howmet Aerospace Inc,Industrials,Aerospace & Defense,17906315264
WAB UN Equity,Westinghouse Air Brake Technologies Corp,Industrials,Machinery,17859295232
PPL UN Equity,PPL Corp,Utilities,Electric Utilities,17513224192
EQT UN Equity,EQT Corp,Energy,"Oil, Gas & Consumable Fuels",17416865792
BSY UW Equity,Bentley Systems Inc,Information Technology,Software,16258621440
AVTR UN Equity,Avantor Inc,Health Care,Life Sciences Tools & Services,13883364352
EPAM UN Equity,EPAM Systems Inc,Information Technology,IT Services,12944379904
GLPI UW Equity,Gaming and Leisure Properties Inc,Real Estate,Specialized REITs,11839818752
VTRS UW Equity,Viatris Inc,Health Care,Pharmaceuticals,11155652608
FIVE UW Equity,Five Below Inc,Consumer Discretionary,Specialty Retail,9797904384
DKS UN Equity,Dick's Sporting Goods Inc,Consumer Discretionary,Specialty Retail,9293879296
TFX UN Equity,Teleflex Inc,Health Care,Health Care Equipment & Supplies,8813849600
WTRG UN Equity,Essential Utilities Inc,Utilities,Water Utilities,8707529728
UHS UN Equity,Universal Health Services Inc,Health Care,Health Care Providers & Services,8651936768
FMC UN Equity,FMC Corp,Materials,Chemicals,8350909952
CUBE UN Equity,CubeSmart,Real Estate,Specialized REITs,7987448832
TOL UN Equity,Toll Brothers Inc,Consumer Discretionary,Household Durables,7380582912
SEIC UW Equity,SEI Investments Co,Financials,Capital Markets,7279692800
GMED UN Equity,Globus Medical Inc,Health Care,Health Care Equipment & Supplies,7184696832
